"group","site","complier","wellbeing_zscore","econ_ss_zscore","treatment","prop_housing","complete_hs","crime_vic","AFDC"
"control","Baltimore",0,2.86218818295595,2.6313524778891,0,0.795110078540098,1,0,0
"control","Baltimore",0,-1.83872736065702,-2.81832736855591,0,0.69047928191032,0,0,0
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.774311578944401,1,0,0
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.792480095955167,0,1,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.733842994751013,0,0,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.712119946966248,0,1,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.752633972453461,0,0,0
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.770359486475668,0,1,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.74891483771589,0,0,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.665535318211509,1,1,0
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.648237967272893,1,0,0
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.768528923946543,0,0,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.704711914496908,1,1,0
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.733569622236438,1,1,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.759747536906497,0,1,1
"control","Baltimore",0,0.511730471292751,-0.09348755810207,0,0.676581841856072,1,0,1
"control","Baltimore",0,4.22886614213257,3.04692760895239,0,0.688766194960256,0,0,1
"control","Baltimore",0,-4.46814987299285,-1.99817226640073,0,0.785713740161532,0,0,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.705199387322107,1,1,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.740448808851052,0,1,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.697444719453232,0,1,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.63300840802566,1,0,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.792118757249113,0,1,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.652984685531518,1,1,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.727014962285663,0,0,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.728099048523377,1,1,0
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.760141429392878,0,1,0
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.756065296376205,1,0,0
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.59009369956671,1,0,0
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.696042098618981,0,0,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.747545346539695,1,1,0
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.732136716583468,0,0,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.724535278324435,0,0,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.684127414399359,1,1,0
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.61705269467233,0,1,1
"control","Baltimore",0,-0.119641715059188,0.524377611127449,0,0.697636485404932,0,1,1
